"css"	"msd"	"mndiff"	"sddiff"
10	0.00615962107255256	0.139776875862616	0.171026019895437
20	0.00259789263717479	0.119095691638723	0.18021960216613
30	0.0025803547371827	0.107085664951516	0.0977076217314365
40	0.00154792882505654	0.0604394116374582	0.116898959990427
50	0.000778542082147461	0.0545845421738077	0.109487856106178
60	0.000881192420192968	0.0731566918995933	0.0719904588903113
70	0.000579481825749383	0.0442622794107724	0.0797346413378527
80	0.000638486166020897	0.0419321044053919	0.0807445000862579
90	0.00066247761135599	0.0347657914902019	0.0795553265959175
100	0.000659178479156868	0.0407043890333274	0.0375115802388396
110	0.000442826485266135	0.0527172724820635	0.065299308459485
120	0.000606616557866157	0.0448597770588406	0.0673673982197875
130	0.000333399856204639	0.0411545984791749	0.0543313842316366
140	0.0003017755234931	0.0235859418478702	0.0437418472078668
150	0.000392991350402409	0.0339081674040623	0.0489845757004012
160	0.000305821867662299	0.050192910072538	0.0768510733678188
170	0.000250364347008144	0.0171999816551721	0.0451918430755682
180	0.000274758908078125	0.0171661048990348	0.0422908164137067
190	0.000178209756486395	0.0224794589078897	0.041516708753127
200	0.00018121982948593	0.00934865329444766	0.0415427225816412
210	0.000209875712620336	0.0338305720424275	0.0513069533148132
220	0.000230288835542898	0.0161781450475824	0.0459881045022008
230	0.000227690295815551	0.0299069141678684	0.0390100625177828
240	0.000162208309559477	0.0182566219579449	0.0221350231563916
250	0.000299756708296555	0.0299064349374435	0.0199618180081802
260	0.000181729051023766	0.0265494866647321	0.0524118468570466
270	0.000122410549073285	0.0345923812993768	0.0286227234755353
280	0.000175959742485935	0.0125755582778401	0.0288755046267464
290	9.95252722343216e-05	0.0140968874404741	0.0285782371199374
300	0.000139694448107949	0.0192151495468803	0.0193686157765196
310	0.000187805586300961	0.0255473936358188	0.0492122985768601
320	0.000110814842535824	0.0137724780319265	0.0353751298440072
330	0.000116166836715406	0.0145303218186678	0.0364975611572016
340	0.000113893741824846	0.0212298905551154	0.0357290097106178
350	0.000109169441219749	0.0117869906270004	0.0277056902248849
360	0.000128351248644913	0.024429640359483	0.0217414214471659
370	5.72287968959846e-05	0.0127358144678664	0.0287456263229973
380	7.15107960454347e-05	0.0110367457305431	0.0264665117686352
390	5.82592085053829e-05	0.0155775066159329	0.00565760924634662
400	5.82932595334155e-05	0.0196995343931964	0.0134957752529082
