"css"	"msd"	"mndiff"	"sddiff"
10	0.0069731912345738	0.110371484216105	0.0824377611181857
20	0.00209639439247408	0.061061347135153	0.0384185592497783
30	0.00176352143580057	0.0634152029542943	0.113696888792295
40	0.00153711212463999	0.069907683502236	0.0811614224614006
50	0.00132891413475559	0.0694100043868884	0.083969742996157
60	0.000542779551707711	0.0497797029644017	0.0672441446528062
70	0.000603122851565042	0.0517437323966037	0.101741800880109
80	0.00103090239485195	0.0322801873387168	0.0753794016142309
90	0.000908434989245535	0.0437692534340347	0.0388269469334474
100	0.000517927773148089	0.0265661528893688	0.0528765356108121
110	0.000364117791181479	0.0324032668392145	0.0578386754176769
120	0.000415748374184491	0.0371211828496015	0.0274817923860147
130	0.000472449870744385	0.0563127503545925	0.0397557794132943
140	0.000380666047187348	0.0424654824547843	0.043321820282434
150	0.000412669696346611	0.0342227848402844	0.0722821500208854
160	0.000343888087974717	0.0264541237543083	0.0248455732972983
170	0.000280406514673253	0.0188393017746264	0.0413887061557009
180	0.0002969918736191	0.017101994073834	0.0417231172894892
190	0.000212313200946796	0.0284868223843335	0.0320741541144287
200	0.000255661380791171	0.032349665607064	0.0286480399994923
210	0.000231109417618725	0.0251496173605193	0.0328273051231822
220	0.000157088998688802	0.0229367117511752	0.0483047632322257
230	0.000172309860362611	0.0233735735834033	0.0405733350986117
240	0.000247979824069673	0.0287019812511861	0.043731394453594
250	0.000209322913392668	0.0266103122993024	0.0347902514033663
260	0.000239018121253067	0.041378179240234	0.0471545534407553
270	0.000140931611686612	0.0182859425281056	0.0191360839689584
280	0.000181144129277399	0.0188736689737837	0.0281134998589715
290	0.000138587820313163	0.0174425247310396	0.0379974061287927
300	0.000104171354454525	0.0130512783205858	0.0502540898628747
310	0.000120985532074675	0.0166577133902385	0.0290771487864602
320	0.000158190794273469	0.0278289518082705	0.0334847471979258
330	0.000186481360254713	0.0185525020147008	0.0135858749504196
340	0.000128488970267237	0.0202317953308589	0.0399371226050928
350	0.00011190369254002	0.0141874733743648	0.0237035635981684
360	0.00013455630381317	0.00916117863225412	0.0167235432147286
370	0.00010610236900938	0.0165071199152694	0.0152286865978094
380	8.83591190866163e-05	0.0153456762420525	0.0227620153177087
390	9.92772102182582e-05	0.0111995604692975	0.0322795521254103
400	0.000113215830765545	0.0182639924128998	0.0277673787647594
