"css"	"msd"	"mndiff"	"sddiff"
10	0.00701733342206441	0.0809535003572088	0.094470135602907
20	0.00364233736309369	0.0877558686929239	0.115883025184499
30	0.00129163081203565	0.0457436633973736	0.144787655264228
40	0.000699140875114234	0.0479010087679621	0.139633993755466
50	0.00105018060720047	0.0722883795237162	0.0933697434807743
60	0.00100089379253786	0.0655119473443318	0.0702488387124576
70	0.000841092817849223	0.0679709474996978	0.0757148950744524
80	0.000641825362630347	0.0566303043302345	0.105755091620297
90	0.00059145579833484	0.028078200448605	0.0493283417043316
100	0.000563069608958834	0.0357095242858199	0.0444118625710247
110	0.000270253243465273	0.0278826100052141	0.0509524626124905
120	0.00053247575493649	0.0711756549953717	0.106770073110034
130	0.00045442924674394	0.02378880419558	0.0730676642172311
140	0.000358693984129191	0.0268851476841492	0.0668158401653316
150	0.000435589562227092	0.024999673608117	0.0524963556199947
160	0.000292561854072839	0.0284009821422538	0.0521582872291259
170	0.000317712161233911	0.0389049690721022	0.0639187486956381
180	0.00024051914916867	0.0234919246984631	0.0296828281396232
190	0.000179500399954325	0.0263656388579393	0.020948485444035
200	0.000252700654068782	0.0233943228105493	0.0501339822554882
210	0.000335041791779633	0.027318569682847	0.0182306698872082
220	0.000184645582672044	0.0328014029144727	0.0324732477634625
230	0.000128433524571384	0.0159741788099907	0.037327167920453
240	0.000257867567872027	0.0194892168010177	0.0284007120518801
250	0.000359275610125192	0.0304636944472244	0.0826074930571445
260	0.000153828100947743	0.0271822898840311	0.0319594570033589
270	0.000242611041416052	0.0222605709075546	0.0274135124845534
280	0.000148675657304751	0.020146483489435	0.0398675900492639
290	0.000318621016344346	0.0287064162985842	0.0419072909746135
300	0.000190127822807452	0.0265347729052505	0.0279870495255183
310	0.000134640603684588	0.0225300284579161	0.0209792397943971
320	0.00026607056351029	0.0225797658760898	0.039374907920944
330	0.000241576816510244	0.016918395936344	0.024449635646499
340	0.000139935346362322	0.0217490664183103	0.0310523893700188
350	9.51907751543932e-05	0.0135099608689643	0.0247402674119317
360	0.000110917599624294	0.0156376119627191	0.0166477107700031
370	9.01997842597563e-05	0.0214522977337422	0.0376848641437354
380	8.83706722765609e-05	0.0113037402559286	0.0370177876740808
390	6.60058418331577e-05	0.0226394477926586	0.0183066363941666
400	5.25280481754646e-05	0.0144160172710316	0.027089731944788
